unit_id,panel_id,WWR,orientation,sda,viewscore
338,3B_WINDOW3,0.33832930292180885,South,38,0.6748544380833104
338,3B_WINDOW8,0.3383293029218083,South,38,0.6748544380833104
338,3B_WINDOW13,0.3383293029218093,South,38,0.6748544380833104
436,1B_WINDOW7,0.3383293029218076,South,27,0.15767201665540853
435,1B_WINDOW6,0.3382538693878136,South,30,0.3623972769227036
422,2B_WINDOW4,0.3383293029218095,South,28,0.3822572099421856
422,2B_WINDOW9,0.3383293029218087,South,28,0.3822572099421856
427,3B_WINDOW3,0.3383293029218088,South,51,1.0
427,3B_WINDOW8,0.33832930292180974,South,51,1.0
427,3B_WINDOW13,0.3383293029218077,South,51,1.0
424,2B_WINDOW4,0.33832930292180824,South,70,0.387648599670501
424,2B_WINDOW9,0.3383293029218097,South,70,0.387648599670501
425,3B_WINDOW3,0.33832930292180735,South,45,0.6399359856146042
425,3B_WINDOW8,0.33832930292180796,South,45,0.6399359856146042
425,3B_WINDOW13,0.33832930292180924,South,45,0.6399359856146042
428,3B_WINDOW3,0.33832930292180907,South,48,0.7361786490657367
428,3B_WINDOW8,0.3383293029218098,South,48,0.7361786490657367
428,3B_WINDOW13,0.3383293029218072,South,48,0.7361786490657367
423,2B_WINDOW4,0.3383293029218086,South,62,0.38764859971392684
423,2B_WINDOW9,0.3383293029218074,South,62,0.38764859971392684
430,2B_WINDOW5,0.3383292708943292,South,38,0.5892083199919605
430,2B_WINDOW10,0.33832930292180924,South,38,0.5892083199919605
