unit_id,panel_id,WWR,orientation,sda,viewscore
250,3B_WINDOW13,0.2254952023069211,South,9,0.30646390319816347
267,2B_WINDOW4,0.22549520230692013,South,19,0.3750744470768386
267,2B_WINDOW9,0.22549520230692122,South,19,0.3750744470768386
269,2B_WINDOW4,0.2254952023069205,South,20,0.3750744470962523
269,2B_WINDOW9,0.22549520230692077,South,20,0.3750744470962523
256,3B_WINDOW3,0.2254952023069206,South,13,0.1719672203445841
256,3B_WINDOW8,0.22549520230691994,South,13,0.1719672203445841
256,3B_WINDOW13,0.225495202306923,South,13,0.1719672203445841
271,2B_WINDOW4,0.2254952023069203,South,19,0.375074447115754
271,2B_WINDOW9,0.225495202306921,South,19,0.375074447115754
255,2B_WINDOW4,0.22549520230692122,South,0,0.6153015661667885
255,2B_WINDOW9,0.22549520230692158,South,0,0.6153015661667885
266,2B_WINDOW4,0.2254952023069207,South,20,0.6554685347220713
266,2B_WINDOW9,0.22549520230692136,South,20,0.6554685347220713
253,3B_WINDOW3,0.22549520230692036,South,20,0.3162066108918148
253,3B_WINDOW8,0.22549520230692124,South,20,0.3162066108918148
253,3B_WINDOW13,0.22549520230692274,South,20,0.3162066108918148
270,2B_WINDOW4,0.22549520230692038,South,26,0.6898615825489305
270,2B_WINDOW9,0.22549520230692185,South,26,0.6898615825489305
278,1B_WINDOW5,0.2254952023069211,South,12,0.0199126410525768
258,3B_WINDOW9,0.22549520230692122,South,4,0.0376355306284207
254,3B_WINDOW9,0.22549520230692138,South,0,0.1759524680068921
268,3B_WINDOW4,0.22549520230692102,South,16,0.6052490303539325
268,3B_WINDOW9,0.22549520230692113,South,16,0.6052490303539325
336,3B_WINDOW3,0.22549520230692077,South,3,0.33009896735058997
336,3B_WINDOW13,0.2254952023069209,South,3,0.33009896735058997
347,2B_WINDOW5,0.2254951827601451,South,21,0.5517825130200911
347,2B_WINDOW10,0.22549520230692044,South,21,0.5517825130200911
343,2B_WINDOW5,0.22549518276014816,South,47,0.5516988439542021
343,2B_WINDOW10,0.22549520230692163,South,47,0.5516988439542021
344,2B_WINDOW4,0.22549520230692005,South,20,0.37520592239207645
344,2B_WINDOW9,0.2254952023069199,South,20,0.37520592239207645
340,3B_WINDOW3,0.22549520230692102,South,21,0.7595635179534485
340,3B_WINDOW8,0.2254952023069209,South,21,0.7595635179534485
340,3B_WINDOW13,0.22549520230691977,South,21,0.7595635179534485
339,2B_WINDOW10,0.22549520230692047,South,6,0.018453377184264142
355,1B_WINDOW6,0.22544916404304507,South,19,0.35137138550267816
353,1B_WINDOW6,0.22544916404303983,South,18,0.35160372044573995
337,3B_WINDOW3,0.22549520230692077,South,8,0.32838140939371274
337,3B_WINDOW8,0.22549520230692088,South,8,0.32838140939371274
337,3B_WINDOW13,0.2254952023069208,South,8,0.32838140939371274
345,3B_WINDOW3,0.2254952023069214,South,89,0.39769681733748974
345,3B_WINDOW8,0.22549520230692158,South,89,0.39769681733748974
345,3B_WINDOW13,0.2254952023069211,South,89,0.39769681733748974
358,1B_WINDOW7,0.2254952023069197,South,46,0.14401824470202115
354,1B_WINDOW6,0.22544916404304546,South,100,0.3513713855020937
342,2B_WINDOW4,0.22549520230692072,South,19,0.6614182612277386
342,2B_WINDOW9,0.22549520230692036,South,19,0.6614182612277386
338,3B_WINDOW3,0.2254952023069209,South,19,0.6792826537302907
338,3B_WINDOW8,0.22549520230692083,South,19,0.6792826537302907
338,3B_WINDOW13,0.22549520230692147,South,19,0.6792826537302907
436,1B_WINDOW7,0.2254952023069214,South,14,0.14401824462407775
435,1B_WINDOW6,0.22544916404304424,South,18,0.35146119849687846
422,2B_WINDOW4,0.22549520230692105,South,16,0.37507444703732334
422,2B_WINDOW9,0.22549520230692124,South,16,0.37507444703732334
427,3B_WINDOW3,0.22549520230692074,South,23,1.0
427,3B_WINDOW8,0.22549520230692277,South,23,1.0
427,3B_WINDOW13,0.22549520230691977,South,23,1.0
424,2B_WINDOW4,0.22549520230692088,South,54,0.37507444705725446
424,2B_WINDOW9,0.2254952023069215,South,54,0.37507444705725446
425,3B_WINDOW3,0.22549520230692083,South,23,0.6497369848140022
425,3B_WINDOW8,0.2254952023069216,South,23,0.6497369848140022
425,3B_WINDOW13,0.22549520230692147,South,23,0.6497369848140022
428,3B_WINDOW3,0.22549520230692088,South,24,0.7480444951615942
428,3B_WINDOW8,0.22549520230692274,South,24,0.7480444951615942
428,3B_WINDOW13,0.22549520230692,South,24,0.7480444951615942
423,2B_WINDOW4,0.2254952023069212,South,45,0.3750744471157528
423,2B_WINDOW9,0.2254952023069209,South,45,0.3750744471157528
430,2B_WINDOW5,0.22549518276014768,South,21,0.5516988439542019
430,2B_WINDOW10,0.22549520230692155,South,21,0.5516988439542019
